X,Y,Name,description,altitudeMode,X_ADDR,ADDRESSPOSTALCODE,ADDRESSFLOORNUMBER,NAME2,HYPERLINK,PHOTOURL,ADDRESSBUILDINGNAME,FMEL_UPD_D,LANDYADDRESSPOINT,ADDRESSUNITNUMBER,SHAPE,Y_ADDR,ADDRESSSTREETNAME,INC_CRC,LANDXADDRESSPOINT,Field_1,ADDRESSBLOCKHOUSENUMBER,DESCRIPTION2
103.694769257266,1.34761307077741,Pioneer Secondary School,"Opening Hours (Indoor Sports Hall):   NA   Opening Hours (Field):   Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm   Facilities:   Chargeable Field   Sports   Football",clampToGround,12580.9823,649075,,,"<a target=""_blank"" href=""http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y"">http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y</a>",,,4/17/2014 8:53:28 AM,36638.1611,,Point,36638.1611,21 Jurong West Street 81,FE46B37B225E61D3,12580.9823,Pioneer Secondary School,,
103.935352521531,1.35808700042645,Poi Ching Primary School,"Opening Hours (Indoor Sports Hall):   Fri: 7.00 pm to 9.00pm, Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm   Opening Hours (Field):   NA   Facilities:   Indoor Sports Hall   Sports   Badminton",clampToGround,39355.2033,529067,,,"<a target=""_blank"" href=""http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y"">http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y</a>",,,4/17/2014 8:53:28 AM,37796.1158,,Point,37796.1158,21 Tampines Street 71,88B5D53901FF7E39,39355.2033,Poi Ching Primary School,,
103.909119264318,1.40212629506462,Punggol Secondary School,"Opening Hours (Indoor Sports Hall):   Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm   Opening Hours (Field):   Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm   Facilities:   Chargeable Field, Indoor Sports Hall   Sports   Football, Badminton",clampToGround,36435.5866,828870,,,"<a target=""_blank"" href=""http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y"">http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y</a>",,,4/17/2014 8:53:28 AM,42665.6542,,Point,42665.6542,51 Edgefield Plains,CBC8EC4AFC6CCE8E,36435.5866,Punggol Secondary School,,
103.948870602689,1.34646741104189,Qiaonan Primary School,"Opening Hours (Indoor Sports Hall):   NA   Opening Hours (Field):   Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm   Facilities:   Free To Play Field   Sports   Free Play",clampToGround,40859.6732,529454,,,"<a target=""_blank"" href=""http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y"">http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y</a>",,,4/17/2014 8:53:28 AM,36511.346,,Point,36511.346,15 Tampines Street 11,0090C4FE8140FCBE,40859.6732,Qiaonan Primary School,,
103.831044083243,1.41924529336164,Naval Base Secondary School,"Opening Hours (Indoor Sports Hall):   Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm   Opening Hours (Field):   Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm   Facilities:   Chargeable Field, Indoor Sports Hall   Sports   Football, Badminton",clampToGround,27746.8815,768689,,,"<a target=""_blank"" href=""http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y"">http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y</a>",,,4/17/2014 8:53:28 AM,44558.4502,,Point,44558.4502,901 Yishun Ring Road,ED1F591969F2D678,27746.8815,Naval Base Secondary School,,
103.799816535699,1.29982467465508,New Town Primary School,"Opening Hours (Indoor Sports Hall):   NA   Opening Hours (Field):   Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm   Facilities:   Free To Play Field   Sports   Free Play",clampToGround,24271.5225,148812,,,"<a target=""_blank"" href=""http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y"">http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y</a>",,,4/17/2014 8:53:28 AM,31353.5517,,Point,31353.5516,300 Tanglin Halt Road,3000ACDE7A95465A,24271.5226,New Town Primary School,,
103.844558110576,1.42785888424621,North View Secondary School,"Opening Hours (Indoor Sports Hall):   NA   Opening Hours (Field):   Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm   Facilities:   Chargeable Field   Sports   Football",clampToGround,29250.7931,768680,,,"<a target=""_blank"" href=""http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y"">http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y</a>",,,4/17/2014 8:53:28 AM,45510.9006,,Point,45510.9005,530 Yishun Ring Road,A08678E71A2E8316,29250.7931,North View Secondary School,,
103.898865751417,1.38091805635651,North Vista Secondary School,"Opening Hours (Indoor Sports Hall):   NA   Opening Hours (Field):   Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm   Facilities:   Chargeable Field   Sports   Football",clampToGround,35294.5745,545081,,,"<a target=""_blank"" href=""http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y"">http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y</a>",,,4/17/2014 8:53:28 AM,40320.5187,,Point,40320.5186,11 Rivervale Link,26A4E17869AE9562,35294.5745,North Vista Secondary School,,
103.840779042547,1.42090847275349,Northland Primary School,"Opening Hours (Indoor Sports Hall):   NA   Opening Hours (Field):   Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm   Facilities:   Free To Play Field   Sports   Free Play",clampToGround,28830.2413,769026,,,"<a target=""_blank"" href=""http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y"">http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y</a>",,,4/17/2014 8:53:28 AM,44742.3574,,Point,44742.3574,15 Yishun Avenue 4,6921D321E73F39A7,28830.2414,Northland Primary School,,
103.838344767043,1.4152944884432,Orchid Park Secondary School,"Opening Hours (Indoor Sports Hall):   NA   Opening Hours (Field):   Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm   Facilities:   Chargeable Field   Sports   Football",clampToGround,28559.3432,768454,,,"<a target=""_blank"" href=""http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y"">http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y</a>",,,4/17/2014 8:53:28 AM,44121.5906,,Point,44121.5906,10 Yishun Street 81,D00D850492925FBB,28559.3432,Orchid Park Secondary School,,
