"name","lon","lat"
"Marina Collection",103.8398767,1.2442761
"One Shenton",103.8506561,1.2795839
"The Ritz-Carlton Residences",103.8361266,1.3079634
"The Rochester Residences",103.7881836,1.3055942
"Aalto",103.897511,1.2981271
"Latitude",103.8281783,1.2961748
"Marina Bay Residences",103.8550598,1.2796864
"The Adara",103.907779,1.3064499
"The Oceanfront @ Sentosa Cove",103.8428069,1.24404
"Leonie Parc View",103.8342226,1.298958
"Rivage",103.8887147,1.299607
"The Ford @ Holland",103.793691,1.313498
"The Sail @ Marina Bay",103.8528303,1.2812533
"Citylights",103.8629417,1.3084931
"The Chuan",103.8607567,1.3499436
"Leonie Suites",103.8316934,1.2987119
"Glentrees",103.7851502,1.3160896
"Leonie Hill Residences",103.833397,1.2973204
"Caribbean At Keppel Bay",103.8161451,1.2675272
"Water Place",103.8723937,1.2966425
"Papillon",103.8490208,1.3269135
"The Madeira",103.749499,1.356952
"Livingston Mansions",103.9149795,1.3127751
"Guilin View",103.7527489,1.3553281
"Mutiara Crest",103.8292618,1.2958404
"Woodsvale",103.8051184,1.4441395
"Aspen Heights",103.8399673,1.2947781
"The Makena",103.8945623,1.2972587
"Costa Rhu",103.8671087,1.2972109
"Lotus At Pasir Panjang",103.7914239,1.2770371
"The Bayshore",103.9392756,1.3127006
"Clydesview",103.8183043,1.2942807
"Mayfair Gardens",103.7810968,1.337818
"Beauty World Centre",103.7762593,1.3423741
"Beverly Hill",103.825579,1.298432
"Wing On Life Garden",103.8315245,1.3175345
"Amber Sea",103.9003142,1.3016048
"Bukit Timah Collection",103.7786609,1.3387148
"Normanton Park",103.7925971,1.2874734
"Parc Central Residences",103.9305669,1.3564579
"Peak Residence",103.840958,1.32534
"Upper Serangoon Road",103.8824703,1.3576474
"Vanilla",103.8305037,1.2823697
"City Suites",103.8526288,1.3215002
"Bartley Ridge",103.8806705,1.3409256
"CityLife @ Tampines",103.9411425,1.3594864
"Echelon",103.8179064,1.2905851
"Jewel @ Buangkok",103.8921897,1.3812071
"Lush Acres",103.879814,1.3948275
"18 Woodsville",103.8681311,1.3296408
"120 Grange",103.8255432,1.2999964
"19 Nassim",103.8213309,1.3066909
"3 Cuscaden",103.8258433,1.3049629
"77 @ East Coast",103.9274167,1.3132782
"8 Hullet",103.838775,1.3031043
"Alexandra Road",103.8055757,1.2884712
"BUKIT 828",103.762974,1.373267
"Carpmael Thirty-Eight",103.8978945,1.3131987
"Casa Al Mare",103.956669,1.377608
"Cheong Chin Nam Road",103.7751423,1.3436653
"Daintree Residence",103.7705951,1.3400807
"Emerald Hill",103.8393188,1.3030712
"Ewe Boon Road",103.8308603,1.3166272
"Grandeur Park Residences",103.9447499,1.3256098
"Harbour View Gardens",103.785307,1.27891
"Haus on Handy",103.8464957,1.2998118
"Hillview Avenue",103.7638949,1.3596007
"Horne Road",103.8614349,1.3097393
"Hyll On Holland",103.802385,1.31071
"JadeScape",103.8393121,1.3517742
"Jervois Treasures",103.823568,1.2928692
"Kandis Residence",103.8370607,1.4569634
"La Mariposa",103.9043503,1.3126052
"Laurel Tree",103.758308,1.353079
"Mayfair Gardens",103.7810968,1.337818
"Midwood",103.7641958,1.3629411
"Mont Botanik Residence ",103.7614851,1.3575325
"Mooi Residences",103.798468,1.3126903
"Myra",103.8745213,1.2998491
"Neu At Novena",103.8459714,1.3196193
"Ola",103.8548685,1.2798897
"Olloi",103.8997533,1.315002
"Opus @ Grange",103.8307763,1.2997186
"Paramount Shopping Centre",103.9029349,1.3037862
"Parc Botannia",103.8746446,1.3987056
"Parc Komo",103.9703876,1.3611614
"Park Colonial",103.869075,1.337829
"Parkwood Residences",103.8757905,1.3666142
"PS100",103.8443705,1.2759018
"RESIDENCE TWENTY-TWO",103.9112699,1.3110725
"Rezi 24",103.8833672,1.3116226
"Rivercove Residences",103.8835135,1.392202
"Riverfront Residences",103.8998114,1.3700337
"Roberts Lane",103.8534497,1.3107673
"Sea Pavilion Residences",103.943164,1.315204
"Sengkang Grand Residences",103.8959819,1.3910846
"Smart House",103.83358,1.358586
"Stirling Residences",103.8046781,1.2919739
"Straits Mansions",103.907124,1.305384
"Sycamore Tree",103.9033222,1.3072014
"Tanjong Katong Road",103.8952083,1.3078724
"Tedge",103.9087417,1.3180989
"The Essence",103.84812,1.279817
"The Iveria",103.838722,1.2954694
"The Jovell",103.9655669,1.3581127
"The Navian",103.906094,1.32781
"The Tre Ver",103.8650603,1.3368522
"The Woodleigh Residences",103.8718923,1.3385873
"Treasure at Tampines",103.9473028,1.3448485
"Zion Road",103.8325997,1.2912554
"Klimt Cairnhill",103.8373289,1.3067162
"KI Residences at Brookvale",103.7675358,1.3305515
"Clavon",103.7538678,1.3362695
"Rymden 77",103.9114765,1.316501
"EDEN",103.8315557,1.3101904
"Fivenine",103.9096969,1.3129406
"REZI 35",103.8889126,1.3161167
"Artra",103.8166799,1.2900845
"Le Quest",103.7389336,1.3547787
"Clermont Residence",103.8452448,1.2762118
"Moulmein Green",103.8474828,1.3185331
"183 Longhaus",103.8355387,1.3509601
"24 One Residences",103.7847534,1.2803525
"Botanique At Bartley",103.8824425,1.3430496
"High Park Residences",103.8751829,1.3962832
"Hundred Palms Residences",103.877268,1.3729118
"iNZ Residence",103.7449371,1.3852086
"Lake Grande",103.7247315,1.3456345
"Northwave",103.8104939,1.4434111
"Roots @ Transit",103.8186828,1.4047879
"Stars Of Kovan",103.8871036,1.3617336
"The Enclave . Holland",103.799119,1.3122774
"The Ramford",103.9050472,1.3113656
"The Rise @ Oxley",103.8431027,1.2974406
"Ariva on Shan",103.8464829,1.325061
"70@truro",103.8489388,1.3146255
"Adana @ Thomson",103.8278365,1.3695119
"Bijou",103.7917043,1.2767818
"Coco Palms",103.9460503,1.3718145
"LIIV RESIDENCES",103.7766398,1.2885916
"M5",103.894397,1.333541
"Mega Woodlands",103.8067738,1.4378735
"Nine Degrees",103.8940306,1.3129727
"North Park Residences",103.8361008,1.4272393
"Parc Life",103.8187225,1.4441353
"Pavilion Square",103.8797812,1.3129521
"Principal Garden",103.8218065,1.2931547
"Sandy Eight",103.893197,1.312097
"Sol Acres",103.751295,1.3766511
"Symphony Suites",103.8448976,1.4347923
"The Criterion",103.8454096,1.4182199
"The Visionaire",103.8255651,1.4455513
"The Wisteria",103.8407518,1.4180753
"Thomson Impressions",103.8300637,1.359914
"TRE Residences",103.8846386,1.3171053
"Treasure Crest",103.892241,1.398639
"Trilive",103.8914145,1.3618372
"VIIO @ Balestier",103.8459236,1.3268632
"Wandervale",103.7496327,1.3833296
"Devonshire 8",103.8381232,1.2975103
"Opal East",103.9136164,1.3111398
"SUNDANCE SUITES",103.9062175,1.3093475
"Kaleido",103.9129072,1.313317
"Alex Residences",103.8187938,1.2906973
"Amber Skye",103.8981808,1.2994916
"Ascent @ 456",103.8484326,1.3265735
"Bellewaters",103.8913241,1.3988636
"Bellewoods",103.8007529,1.4327725
"d'Nest",103.9463657,1.3693223
"eCO",103.8531,1.30309
"Eon Shenton",103.846216,1.2739069
"Ferra",103.8102701,1.2913096
"Floraview",103.8503007,1.3914111
"Floraville",103.85134,1.3919333
"Goodwood Grand",103.833316,1.315408
"Guillemard Suites",103.8827284,1.3108467
"Hilbre 28",103.8748145,1.3606879
"Jade Residences",103.8780272,1.3491793
"Junction Nine",103.8415583,1.4331427
"Kingsford . Hillview Peak",103.7639636,1.3648602
"Liv On Wilkie",103.8487107,1.3025637
"Mayfair Residences",103.9143952,1.3096075
"Meyer Melodia",103.8865886,1.2981293
"Moulmein27",103.8460769,1.3194332
"One Duchess",103.808398,1.324968
"Onze @ Tanjong Pagar",103.842087,1.2750359
"Park 1 Suites",103.8894194,1.3140331
"Residence 1",103.6871961,1.3450273
"Rezi 3Two",103.8868491,1.3122027
"Ritz @ Farrer",103.8600906,1.2907544
"Riverbank @ Fernvale",103.8813586,1.3948529
"Rivertrees Residences",103.880661,1.3937854
"Signature At Yishun",103.8450506,1.4171753
"Spottiswoode Suites",103.8374577,1.2760101
"Sunnyvale Residences",103.9151574,1.3134205
"The Asana",103.8107638,1.3221465
"The Brownstone",103.8272035,1.4458093
"The Citron",103.8572746,1.3126974
"The Creek @ Bukit",103.7699301,1.3400462
"The Orient",103.7837817,1.2811527
"The Panorama",103.8346264,1.3756799
"The Rise @ Oxley - Residences",103.8431027,1.2974406
"The Santorini",103.9279421,1.3521455
"The Terrace",103.9158419,1.4017827
"The Venue Residences",103.8695664,1.3286027
"Treasures @ G6",103.8767491,1.3106288
"Vue 8 Residence",103.9409322,1.3823183
"Waterfront @ Faber",103.7546373,1.3235795
"Watertown",103.9015464,1.4068554
"Westwood Residences",103.69653,1.3521112
"Cosmo Loft",103.8526288,1.3215002
"Prestige Point",103.8801316,1.3495918
"Permai Residences",103.8272827,1.2718706
"Sunstone Residences",103.9091282,1.3260001
"Valley House",103.838056,1.29606
"28 RC Suites",103.8528941,1.309985
"8M Residences",103.8886425,1.2991856
"Aspen LinQ",103.839831,1.2952921
"Cairnhill Nine",103.837257,1.303817
"Cambio Suites",103.8762886,1.3550408
"Charlton Park",103.8817505,1.3549226
"Cluny Park Residence",103.8139211,1.3220121
"Dunman Regency",103.8933663,1.3095003
"E Maison",103.8691893,1.343313
"Ecopolitan",103.8980443,1.4011569
"Eden Residences Capitol",103.8511035,1.2930961
"Eight Riversuites",103.8645503,1.3214108
"Flo Residence",103.9129884,1.3916378
"Forestville",103.7990558,1.4325725
"G Residences",103.9101586,1.3171163
"Garden Park Residences",103.9100915,1.3105597
"Grandview Suites",103.8824525,1.3128254
"Hills Twoone",103.7584066,1.3526436
"J Gateway",103.7423009,1.3357304
"Kap Residences",103.7790681,1.3369834
"Kensington Square",103.8827453,1.3456703
"La Fiesta",103.8953757,1.3895885
"Lake Life",103.7240598,1.3318054
"Loft 33",103.8871228,1.3127805
"Metro Loft",103.883678,1.3143833
"Midtown Residences",103.8951731,1.3704674
"Millage",103.9012057,1.316609
"Mon Jervois",103.8220744,1.2938337
"Nanyang Park",103.8757885,1.3650837
"NEWest",103.7573965,1.3164853
"One Balmoral",103.830196,1.313333
"One Dusun Residences",103.8438153,1.3270103
"Oxley Edge",103.841475,1.2956302
"Parc Centros",103.9043484,1.4031059
"Pollen & Bleu",103.8640383,1.2848907
"Presto @ Upper Serangoon",103.8715452,1.345794
"Q Bay Residences",103.9277763,1.3506424
"R Maison",103.8699415,1.3433699
"Riversails",103.9024414,1.377924
"Robin Suites",103.828578,1.3176685
"Sant Ritz",103.8693764,1.3293961
"Sea Horizon",103.9591327,1.3762236
"Sea Suites",103.8176303,1.2583382
"SeaHill",103.763946,1.2987745
"Selegie Centre",103.850017,1.3039337
"Sennett Residence",103.8695533,1.3308105
"Seventy Saint Patrick's",103.9152417,1.3078874
"Singa Hills",103.9085201,1.3302893
"Skies Miltonia",103.848233,1.4182673
"Skypark Residences",103.8200197,1.4437745
"Spazio @ Kovan",103.8782332,1.3546444
"Stratum",103.9430596,1.3789309
"Suites @ Newton",103.8415628,1.3163218
"The Amore",103.9128838,1.3987308
"The Bently Residences@Kovan",103.8804407,1.3579001
"THE BROOKS I & II",103.8192322,1.40448
"The Centren",103.8835768,1.3139549
"The Ebony",103.9085873,1.3204009
"The Glades",103.9482762,1.3263931
"The Hillford",103.76984,1.344059
"The Hillier",103.7643943,1.3640168
"The Inflora",103.9662273,1.3560286
"The Octet",103.883552,1.3121233
"The Quinn",103.8728581,1.3438553
"The Red House",103.9036115,1.3052409
"The Scotts Tower",103.8353518,1.3099741
"The Serenno",103.8974328,1.3102959
"The Siena",103.8116227,1.3209434
"The Skywoods",103.7717701,1.3651642
"The Tembusu",103.8898144,1.36134
"The Topiary",103.8719784,1.3880016
"Thomson Three",103.8315387,1.3574329
"Three Balmoral",103.8304542,1.3138549
"Tropika East",103.9069939,1.3288723
"Twin Fountains",103.7998126,1.4311212
"Urban Vista",103.94449,1.327415
"VA Residences",103.8496959,1.3266399
"Vibes@Upper Serangoon",103.8712383,1.34489
"Village @ Pasir Panjang",103.7703987,1.2912536
"Waterbay",103.9084269,1.4004796
"Whitehaven",103.7775638,1.2894759
"Rich.Residence",103.88136,1.362535
"Lh Residences",103.912597,1.3121913
"Cassia Edge",103.8857894,1.3116402
"Jj's Residences @ Jervois",103.8238166,1.2934388
"Triple 2 Studio",103.8412005,1.275195
"1 Canberra",103.8300223,1.4383009
"1919",103.8465766,1.3027274
"28 Imperial Residences",103.8847793,1.3117929
"8 Bassein",103.8480518,1.3234664
"A Treasure Trove",103.8999933,1.4046494
"Alba",103.647518,1.330699
"Archipelago",103.9188096,1.3386929
"Aura 83",103.9063669,1.3106759
"Bedok Residences",103.9298161,1.3255836
"Bliss@Kovan",103.8837419,1.3629002
